asin,sentiment
B0CNY2W1CP,Neutral
B0CNY2W1CP,Neutral
B0CNY2W1CP,Positive
B07HFDQP1Y,Positive
B07HFDQP1Y,Positive
B07HFDQP1Y,Negative
B07HFDQP1Y,Positive
B07HFDQP1Y,Positive
B07HFDQP1Y,Neutral
B07HFDQP1Y,Positive
B07HFDQP1Y,Neutral
B07HFDQP1Y,Negative
B07HFDQP1Y,Neutral
B07HFDQP1Y,Neutral
B07HFDQP1Y,Neutral
B0C56YGYF4,Positive
B0C56YGYF4,Positive
B0C56YGYF4,Positive
B0C56YGYF4,Positive
B0C56YGYF4,Neutral
B0C56YGYF4,Positive
B0C14HZ14D,Positive
B0C14HZ14D,Negative
B0C14HZ14D,Positive
B0C14HZ14D,Neutral
B0C14HZ14D,Negative
B0C14HZ14D,Neutral
B0C14HZ14D,Positive
B0C14HZ14D,Neutral
B0BMW3P87R,Positive
B0BMW3P87R,Neutral
B0BMW3P87R,Positive
B0BMW3P87R,Positive
B0BMW3P87R,Neutral
B0BMW3P87R,Neutral
B0BMW3P87R,Neutral
B0BMW3P87R,Positive
B0BMW3P87R,Negative
B01LZE0396,Positive
B01LZE0396,Neutral
B01LZE0396,Negative
B01LZE0396,Positive
B01LZE0396,Positive
B01LZE0396,Positive
B01LZE0396,Positive
B01LZE0396,Positive
B01LZE0396,Neutral
B09JZFZJCJ,Positive
B09JZFZJCJ,Positive
B09JZFZJCJ,Positive
B09JZFZJCJ,Neutral
B09JZFZJCJ,Positive
B09JZFZJCJ,Positive
B09JZFZJCJ,Positive
B09JZFZJCJ,Neutral
B0CRHXYKZF,Positive
B0CRHXYKZF,Negative
B0CRHXYKZF,Positive
B0CRHXYKZF,Positive
B0CYZB8VFN,Positive
B0CYZB8VFN,Positive
B0CYZB8VFN,Neutral
B0CYZB8VFN,Positive
B0CYZB8VFN,Positive
B0D3CVRXMR,Positive
B0D3CVRXMR,Neutral
B0D3CVRXMR,Neutral
B0D3CVRXMR,Neutral
B0D3CVRXMR,Positive
B09NNQ6DT1,Positive
B09NNQ6DT1,Positive
B09NNQ6DT1,Positive
B09NNQ6DT1,Positive
B09NNQ6DT1,Positive
B09NNQ6DT1,Neutral
B09NNQ6DT1,Positive
B09NNQ6DT1,Positive
B09NNQ6DT1,Neutral
B09NNQ6DT1,Positive
B09NNQ6DT1,Neutral
B09NNQ6DT1,Positive
B09XBRZFGX,Positive
B09XBRZFGX,Positive
B09XBRZFGX,Positive
B09XBRZFGX,Positive
B09XBRZFGX,Positive
B0D365L6Q1,Positive
B0D365L6Q1,Positive
B0D365L6Q1,Positive
B0C1CPF4GH,Positive
B0C1CPF4GH,Positive
B097NBWRQK,Positive
B097NBWRQK,Positive
B097NBWRQK,Positive
B097NBWRQK,Positive
B097NBWRQK,Neutral
B097NBWRQK,Positive
B097NBWRQK,Positive
B097NBWRQK,Positive
B0CQ3RRS23,Neutral
B0CQ3RRS23,Positive
B0CQ3RRS23,Negative
B0CQ3RRS23,Positive
B0CQ3RRS23,Positive
B0CQ3RRS23,Positive
B0CN1MMGDH,Positive
B0D53YX6VM,Positive
B0D53YX6VM,Neutral
B0D53YX6VM,Neutral
B0D53YX6VM,Neutral
B0D53YX6VM,Neutral
B0D53YX6VM,Positive
B01M5FP9L1,Positive
B01M5FP9L1,Positive
B01M5FP9L1,Neutral
B01M5FP9L1,Positive
B01M5FP9L1,Positive
B01M5FP9L1,Positive
B01M5FP9L1,Positive
B01M5FP9L1,Neutral
B01M5FP9L1,Neutral
B01M5FP9L1,Neutral
B01M5FP9L1,Neutral
B01M5FP9L1,Neutral
B0BY92GS7B,Negative
B0D6Z865VP,Neutral
B0D6Z865VP,Negative
B0D6Z865VP,Negative
B0D6Z865VP,Neutral
B0D6Z865VP,Neutral
B0C7LKP7MW,Positive
B0C7LKP7MW,Neutral
B0C7LKP7MW,Negative
B00G4E60UA,Positive
B00G4E60UA,Positive
B00G4E60UA,Neutral
B07W4XKBNR,Positive
B07W4XKBNR,Positive
B07W4XKBNR,Positive
B07W4XKBNR,Positive
B07W4XKBNR,Negative
B07W4XKBNR,Neutral
B07W4XKBNR,Neutral
B07W4XKBNR,Neutral
B07W4XKBNR,Neutral
B06WVRSCBY,Neutral
B06WVRSCBY,Neutral
B09BG83Q5S,Positive
B09BG83Q5S,Positive
B09BG83Q5S,Neutral
B09BG83Q5S,Neutral
B09BG83Q5S,Positive
B0CYBTMWTM,Neutral
B0CYBTMWTM,Neutral
B0CYBTMWTM,Positive
B0CYBTMWTM,Positive
B0CYBTMWTM,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0C1CTBL91,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6PZ25L,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B0CS6QWJKD,Positive
B08L5KHHWL,Neutral
B08L5KHHWL,Neutral
B08L5KHHWL,Neutral
B08L5KHHWL,Positive
B08L5KHHWL,Neutral
B086WM78H6,Positive
B086WM78H6,Neutral
B086WM78H6,Neutral
B086WM78H6,Positive
B086WM78H6,Negative
B08FRNCPXF,Positive
B08FRNCPXF,Positive
B08FRNCPXF,Positive
B08FRNCPXF,Neutral
B08FRNCPXF,Positive
B0CCKS8FVL,Positive
B0CCKS8FVL,Neutral
B0CCKS8FVL,Positive
B0CCKS8FVL,Neutral
B0CCKS8FVL,Positive
B0D3PVMR6G,Positive
B0D3PVMR6G,Positive
B0D3PVMR6G,Positive
B0D3PVMR6G,Positive
B0CLTHW82G,Positive
B0CLTHW82G,Positive
B0CLTHW82G,Positive
B0CLTHW82G,Negative
B0CLTHW82G,Positive
B09NP61C3J,Positive
B09NP61C3J,Positive
B09NP61C3J,Neutral
B09NP61C3J,Positive
B09NP61C3J,Positive
B0C37FDFKG,Positive
B0C37FDFKG,Neutral
B0C37FDFKG,Positive
B0C37FDFKG,Neutral
B0C37FDFKG,Positive
B0C37FDFKG,Positive
B0C37FDFKG,Positive
B0C37FDFKG,Neutral
B083T1S6Q4,Positive
B083T1S6Q4,Positive
B083T1S6Q4,Positive
B083T1S6Q4,Positive
B083T1S6Q4,Positive
B083T1S6Q4,Neutral
B083T1S6Q4,Positive
B083T1S6Q4,Neutral
B0C4FDSF5D,Positive
B0C4FDSF5D,Neutral
B0C4FDSF5D,Positive
B0C4FDSF5D,Positive
B0C4FDSF5D,Neutral
B0C4FDSF5D,Negative
B0C4FDSF5D,Positive
B0DQ3WLQWM,Positive
B0DQ3WLQWM,Neutral
B0DQ3WLQWM,Positive
B0DQ3WLQWM,Neutral
B0DQ3WLQWM,Neutral
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6N4VF7,Positive
B0CS6XG1LY,Neutral
B0CLSP8F17,Positive
B0CLSP8F17,Positive
B0CLSP8F17,Positive
B0CLSP8F17,Negative
B0CLSP8F17,Positive
B093RNV6SD,Negative
B093RNV6SD,Positive
B093RNV6SD,Positive
B093RNV6SD,Positive
B093RNV6SD,Neutral
B093RNV6SD,Positive
B093RNV6SD,Negative
B093RNV6SD,Positive
B07HZ377MN,Positive
B07HZ377MN,Positive
B07HZ377MN,Positive
B07HZ377MN,Neutral
B07HZ377MN,Positive
B07HZ377MN,Positive
B07HZ377MN,Positive
B07HZ377MN,Positive
B0CMXZH2QZ,Positive
B0CMXZH2QZ,Positive
B0184BJDRM,Negative
B0184BJDRM,Positive
B0CB1LWC55,Positive
B0CB1LWC55,Positive
B0CB1LWC55,Positive
B0CB1LWC55,Neutral
B0CB1LWC55,Positive
B0CB1LWC55,Positive
B0CB1LWC55,Positive
B0CB1LWC55,Positive
B0B78JSMXG,Neutral
B0B78JSMXG,Positive
B0B78JSMXG,Positive
B0CFWYWD55,Positive
B0CFWYWD55,Positive
B0CFWYWD55,Positive
B0CFWYWD55,Neutral
B0CFWYWD55,Positive
B002TMJKQ2,Positive
B0DJZ8W8GT,Positive
B07G8LZHCR,Positive
B07G8LZHCR,Positive
B07G8LZHCR,Positive
B07G8LZHCR,Positive
B07G8LZHCR,Neutral
B07G8LZHCR,Positive
B07G8LZHCR,Negative
B07G8LZHCR,Neutral
B087YVM765,Positive
B087YVM765,Neutral
B087YVM765,Positive
B087YVM765,Neutral
B087YVM765,Neutral
B087YVM765,Neutral
B087YVM765,Positive
B087YVM765,Neutral
B0B5XKPLRZ,Positive
B0B5XKPLRZ,Positive
B0B5XKPLRZ,Neutral
B0CWB2LWRN,Positive
B0CWB2LWRN,Positive
B0CWB2LWRN,Neutral
B0CWB2LWRN,Positive
B0CWB2LWRN,Positive
B07RKPGQ5Y,Positive
B09LP61KDP,Neutral
B09LP61KDP,Positive
B09LP61KDP,Positive
B09LP61KDP,Positive
B09LP61KDP,Neutral
B07YYGQ8DJ,Negative
B09S7W8BW9,Positive
B09S7W8BW9,Positive
B09S7W8BW9,Positive
B09S7W8BW9,Positive
B09S7W8BW9,Neutral
B09S7W8BW9,Neutral
B09S7W8BW9,Positive
B09S7W8BW9,Negative
B09S7W8BW9,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B0CS6MMSJ1,Positive
B09NHWDYYN,Positive
B09NHWDYYN,Positive
B09NHWDYYN,Positive
B09NHWDYYN,Positive
B09NHWDYYN,Neutral
B09NHWDYYN,Positive
B09NHWDYYN,Positive
B09NHWDYYN,Positive
B09NHWDYYN,Positive
B082P7FWJ4,Neutral
B082P7FWJ4,Positive
B082P7FWJ4,Positive
B082P7FWJ4,Neutral
B082P7FWJ4,Neutral
B082P7FWJ4,Positive
B082P7FWJ4,Positive
B082P7FWJ4,Positive
B07YW4D875,Positive
B07YW4D875,Positive
B07YW4D875,Neutral
B07YW4D875,Positive
B07YW4D875,Negative
B07YW4D875,Neutral
B07YW4D875,Positive
B07YW4D875,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B0CS6P4QC8,Positive
B09GKM9R1Q,Positive
B09GKM9R1Q,Positive
B09GKM9R1Q,Negative
B09GKM9R1Q,Positive
B09GKM9R1Q,Positive
B09GKM9R1Q,Positive
B09GKM9R1Q,Positive
B09GKM9R1Q,Positive
B09GKM9R1Q,Neutral
B09GKM9R1Q,Neutral
B0877C8SBB,Positive
B0877C8SBB,Positive
B0877C8SBB,Positive
B0877C8SBB,Positive
B0877C8SBB,Positive
B0877C8SBB,Positive
B0877C8SBB,Neutral
B0877C8SBB,Positive
B00S63RJ9S,Positive
B00S63RJ9S,Positive
B00S63RJ9S,Positive
B00S63RJ9S,Neutral
B00S63RJ9S,Positive
B00S63RJ9S,Positive
B00S63RJ9S,Positive
B00S63RJ9S,Positive
B0CNLZXL9H,Neutral
B0CNLZXL9H,Neutral
B0CNLZXL9H,Positive
B0CNLZXL9H,Positive
B0CNLZXL9H,Positive
B082P7X45F,Positive
B082P7X45F,Positive
B082P7X45F,Positive
B082P7X45F,Neutral
B082P7X45F,Positive
B082P7X45F,Positive
B082P7X45F,Positive
B082P7X45F,Positive
B0D7HMYNYF,Positive
B0D7HMYNYF,Positive
B0D7HMYNYF,Positive
B0D7HMYNYF,Neutral
B0D7HMYNYF,Positive
B0BW2YS9X4,Negative
B0BW2YS9X4,Neutral
B0BW2YS9X4,Neutral
B0BW2YS9X4,Positive
B0BW2YS9X4,Neutral
B0BB796FDB,Neutral
B0BB796FDB,Neutral
B0BB796FDB,Positive
B0D3GT7VGV,Positive
B0D3GT7VGV,Positive
B0D3GT7VGV,Positive
B0D3GT7VGV,Positive
B0D3GT7VGV,Positive
B08PT6V2HY,Positive
B08PT6V2HY,Positive
B08297629K,Positive
B08297629K,Neutral
B08297629K,Positive
B08297629K,Neutral
B08297629K,Positive
B08297629K,Positive
B08297629K,Neutral
B08297629K,Positive
B08297629K,Neutral
B08297629K,Neutral
B08297629K,Neutral
B08297629K,Neutral
B0BQRRD645,Positive
B0BQRRD645,Positive
B0BQRRD645,Neutral
B0BQRRD645,Positive
B0BQRRD645,Positive
B0BQRRD645,Positive
B0BQRRD645,Positive
B0BQRRD645,Positive
B0BQRRD645,Negative
B08Q7QQ3K4,Positive
B08Q7QQ3K4,Positive
B08Q7QQ3K4,Neutral
B08Q7QQ3K4,Positive
B08Q7QQ3K4,Positive
B0DT7FC9B7,Positive
B0DT7FC9B7,Negative
B0DT7FC9B7,Positive
B09HVC79PC,Positive
B09HVC79PC,Positive
B09HVC79PC,Positive
B09HVC79PC,Positive
B09HVC79PC,Positive
B08PGJD254,Positive
B08PGJD254,Neutral
B08PGJD254,Neutral
B08PGJD254,Neutral
B08PGJD254,Neutral
B08PGJD254,Positive
B08PGJD254,Neutral
B08PGJD254,Neutral
B0B31J9DM3,Positive
B0B31J9DM3,Positive
B0B31J9DM3,Positive
B0B31J9DM3,Positive
B0B31J9DM3,Neutral
B0B31J9DM3,Positive
B0B31J9DM3,Positive
B0B31J9DM3,Positive
B0B31J9DM3,Positive
B07S6PGKQ5,Positive
B07S6PGKQ5,Positive
B07S6PGKQ5,Neutral
B07S6PGKQ5,Neutral
B07S6PGKQ5,Neutral
B082P786HR,Positive
B082P786HR,Positive
B082P786HR,Positive
B082P786HR,Neutral
B082P786HR,Positive
B082P786HR,Positive
B082P786HR,Positive
B082P786HR,Positive
B06XCG45VR,Positive
B06XCG45VR,Positive
B06XCG45VR,Positive
B06XCG45VR,Neutral
B06XCG45VR,Positive
B0CDL4914P,Negative
B0CDL4914P,Neutral
B0CDL4914P,Positive
B0CDL4914P,Positive
B0CDL4914P,Negative
B08W9GRCFC,Positive
B08W9GRCFC,Positive
B08W9GRCFC,Neutral
B08W9GRCFC,Positive
B08W9GRCFC,Positive
B08W9GRCFC,Positive
B08W9GRCFC,Positive
B08W9GRCFC,Positive
B08Q852QBG,Positive
B08Q852QBG,Positive
B08Q852QBG,Neutral
B08Q852QBG,Positive
B08Q852QBG,Positive
B082DGWVLM,Positive
B082DGWVLM,Positive
B082DGWVLM,Neutral
B082DGWVLM,Positive
B0B6G3V851,Positive
B0B6G3V851,Positive
B0B6G3V851,Negative
B0B6G3V851,Neutral
B08W8P6SGM,Positive
B08W8P6SGM,Positive
B08W8P6SGM,Neutral
B08W8P6SGM,Positive
B08W8P6SGM,Positive
B08W8P6SGM,Positive
B08W8P6SGM,Positive
B08W8P6SGM,Positive
B0BSLVLS4P,Neutral
B0BSLVLS4P,Neutral
B0BSLVLS4P,Positive
B0BSLVLS4P,Positive
